source_node_id;soure_node_entity;sink_node_id;sind_node_entity;association_type;sequence
77395;Issue;14640;Version;IssueFixVersion;
77395;Issue;14640;Version;IssueVersion;
77396;Issue;13616;Component;IssueComponent;
77396;Issue;14640;Version;IssueFixVersion;
77396;Issue;14640;Version;IssueVersion;
77397;Issue;13941;Component;IssueComponent;
77400;Issue;13941;Component;IssueComponent;
77401;Issue;13616;Component;IssueComponent;
77401;Issue;14640;Version;IssueFixVersion;
77401;Issue;14640;Version;IssueVersion;
77403;Issue;13941;Component;IssueComponent;
77404;Issue;13616;Component;IssueComponent;
77404;Issue;14640;Version;IssueFixVersion;
77404;Issue;14640;Version;IssueVersion;
77408;Issue;12515;Component;IssueComponent;
77408;Issue;12516;Component;IssueComponent;
77408;Issue;15409;Version;IssueVersion;
77411;Issue;14321;Component;IssueComponent;
77411;Issue;15433;Version;IssueVersion;
77411;Issue;15607;Version;IssueFixVersion;
77412;Issue;12527;Component;IssueComponent;
77413;Issue;12527;Component;IssueComponent;
77415;Issue;14321;Component;IssueComponent;
77415;Issue;15433;Version;IssueVersion;
77415;Issue;16427;Version;IssueFixVersion;
77416;Issue;14321;Component;IssueComponent;
77416;Issue;15433;Version;IssueVersion;
77416;Issue;15624;Version;IssueFixVersion;
77417;Issue;13941;Component;IssueComponent;
77418;Issue;12527;Component;IssueComponent;
77419;Issue;12511;Component;IssueComponent;
77419;Issue;13516;Component;IssueComponent;
77419;Issue;15433;Version;IssueVersion;
77419;Issue;15626;Version;IssueFixVersion;
77421;Issue;13941;Component;IssueComponent;
77422;Issue;12527;Component;IssueComponent;
77425;Issue;12527;Component;IssueComponent;
77426;Issue;13616;Component;IssueComponent;
77426;Issue;14340;Component;IssueComponent;
77426;Issue;14640;Version;IssueFixVersion;
77426;Issue;14640;Version;IssueVersion;
77426;Issue;15304;Version;IssueFixVersion;
77427;Issue;12447;Component;IssueComponent;
77428;Issue;13616;Component;IssueComponent;
77428;Issue;14340;Component;IssueComponent;
77428;Issue;14640;Version;IssueFixVersion;
77428;Issue;14640;Version;IssueVersion;
77428;Issue;15304;Version;IssueFixVersion;
77429;Issue;13616;Component;IssueComponent;
77429;Issue;14340;Component;IssueComponent;
77429;Issue;14640;Version;IssueFixVersion;
77429;Issue;14640;Version;IssueVersion;
77429;Issue;15304;Version;IssueFixVersion;
77431;Issue;12447;Component;IssueComponent;
77432;Issue;16456;Version;IssueVersion;
77432;Issue;17385;Version;IssueFixVersion;
77433;Issue;13941;Component;IssueComponent;
77434;Issue;13616;Component;IssueComponent;
77434;Issue;14640;Version;IssueFixVersion;
77434;Issue;14640;Version;IssueVersion;
77437;Issue;12527;Component;IssueComponent;
77438;Issue;12447;Component;IssueComponent;
77438;Issue;12527;Component;IssueComponent;
77439;Issue;12516;Component;IssueComponent;
77439;Issue;15309;Version;IssueVersion;
77440;Issue;17013;Component;IssueComponent;
77441;Issue;14912;Version;IssueFixVersion;
77444;Issue;13620;Component;IssueComponent;
77444;Issue;14636;Version;IssueFixVersion;
77445;Issue;12527;Component;IssueComponent;
77446;Issue;12527;Component;IssueComponent;
77447;Issue;13941;Component;IssueComponent;
77448;Issue;13941;Component;IssueComponent;
77451;Issue;13941;Component;IssueComponent;
77453;Issue;12516;Component;IssueComponent;
77453;Issue;15433;Version;IssueVersion;
77453;Issue;15607;Version;IssueFixVersion;
77454;Issue;12237;Component;IssueComponent;
77455;Issue;13616;Component;IssueComponent;
77455;Issue;15304;Version;IssueFixVersion;
77455;Issue;15304;Version;IssueVersion;
77456;Issue;12513;Component;IssueComponent;
77456;Issue;15407;Version;IssueFixVersion;
77456;Issue;15433;Version;IssueVersion;
77457;Issue;13813;Component;IssueComponent;
77457;Issue;15515;Version;IssueVersion;
77457;Issue;15525;Version;IssueFixVersion;
77458;Issue;14630;Version;IssueFixVersion;
77459;Issue;13616;Component;IssueComponent;
77459;Issue;14340;Component;IssueComponent;
77459;Issue;14640;Version;IssueFixVersion;
77459;Issue;14640;Version;IssueVersion;
77459;Issue;15304;Version;IssueFixVersion;
77460;Issue;13616;Component;IssueComponent;
77460;Issue;14640;Version;IssueFixVersion;
77460;Issue;14640;Version;IssueVersion;
77461;Issue;12511;Component;IssueComponent;
77461;Issue;15433;Version;IssueVersion;
77461;Issue;15607;Version;IssueFixVersion;
77462;Issue;13616;Component;IssueComponent;
77462;Issue;14640;Version;IssueFixVersion;
77462;Issue;14640;Version;IssueVersion;
77464;Issue;13941;Component;IssueComponent;
77465;Issue;16456;Version;IssueFixVersion;
77465;Issue;16456;Version;IssueVersion;
77465;Issue;16533;Version;IssueFixVersion;
77467;Issue;12516;Component;IssueComponent;
77467;Issue;15433;Version;IssueVersion;
77467;Issue;15607;Version;IssueFixVersion;
77468;Issue;13616;Component;IssueComponent;
77468;Issue;14640;Version;IssueFixVersion;
77468;Issue;14640;Version;IssueVersion;
77469;Issue;13616;Component;IssueComponent;
77469;Issue;14640;Version;IssueFixVersion;
77469;Issue;14640;Version;IssueVersion;
77470;Issue;11400;Component;IssueComponent;
77470;Issue;12005;Version;IssueFixVersion;
77471;Issue;14912;Version;IssueFixVersion;
77472;Issue;14417;Component;IssueComponent;
77474;Issue;13616;Component;IssueComponent;
77474;Issue;14640;Version;IssueFixVersion;
77474;Issue;14640;Version;IssueVersion;
77476;Issue;16439;Version;IssueFixVersion;
77477;Issue;12512;Component;IssueComponent;
77477;Issue;12531;Component;IssueComponent;
77477;Issue;15407;Version;IssueFixVersion;
77477;Issue;15433;Version;IssueVersion;
77478;Issue;13616;Component;IssueComponent;
77478;Issue;14640;Version;IssueFixVersion;
77478;Issue;14640;Version;IssueVersion;
77479;Issue;14321;Component;IssueComponent;
77479;Issue;15433;Version;IssueVersion;
77479;Issue;15624;Version;IssueFixVersion;
77480;Issue;13616;Component;IssueComponent;
77480;Issue;14640;Version;IssueFixVersion;
77480;Issue;14640;Version;IssueVersion;
77481;Issue;13512;Version;IssueVersion;
77481;Issue;14321;Component;IssueComponent;
