ID;CUSTOMFIELDTYPEKEY;CUSTOMFIELDSEARCHERKEY;cfname;DESCRIPTION;defaultvalue;FIELDTYPE;PROJECT;ISSUETYPE;cfkey;lastvalueupdate;issueswithvalue
15008;com.atlassian.jira.plugin.system.customfieldtypes:select;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;Risk consequence;Risk Consequence field used by BigPicture plugin. (Only Issues with both, Risk Probability and Risk Consequence values selected will appear in Risk Matrix);;;;;;;0.0
15100;com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;Build Quality Gates;kennzeichnet, ob die Quality Gates für den Build-Lauf geprüft, erfüllt bzw. nicht erfüllt sind;;;;;;2022-12-20 10:06:16.303;648.0
15101;com.coresoftlabs.component-picker:multi-component-picker;com.coresoftlabs.component-picker:multi-component-searcher;Whitelist Hotfix Build;kennzeichnet, für welche Komponenten im Falle eines Hotfixes die Quality Gates für den Build übersprungen werden dürfen;;;;;;2022-06-14 17:09:39.433;2.0
15200;com.atlassian.jira.plugin.system.customfieldtypes:textarea;com.atlassian.jira.plugin.system.customfieldtypes:textsearcher;Anmerkung;;;;;;;2022-08-16 11:00:44.603;2.0
15300;com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;Undeploy;;;;;;;2025-01-09 14:15:22.340;22599.0
15301;com.okapya.jira.checklist:checklist;com.okapya.jira.checklist:checklist-searcher;Definition of Ready;;;;;;;2025-01-13 17:29:07.200;21665.0
15302;com.okapya.jira.checklist:checklist;com.okapya.jira.checklist:checklist-searcher;Akzeptanzkriterien;;;;;;;2025-01-13 17:29:07.200;16512.0
15400;com.atlassian.jira.plugin.system.customfieldtypes:textfield;com.atlassian.jira.plugin.system.customfieldtypes:textsearcher;Auftraggeber extern;für Auftraggeber ohne UserID;;;;;;2025-01-07 18:15:18.267;96.0
15600;com.onresolve.jira.groovy.groovyrunner:multiple-issue-picker-cf;com.onresolve.jira.groovy.groovyrunner:configurablePickerSearcher;Initiative;mehrere Initiativen auswählbar;;;;;;2024-03-13 09:49:44.877;197.0
15700;com.atlassian.jira.plugin.system.customfieldtypes:cascadingselect;com.atlassian.jira.plugin.system.customfieldtypes:cascadingselectsearcher;Risiko/Komplexität;;;;;;;2022-10-25 09:45:49.380;1.0
15800;com.atlassian.jira.plugin.system.customfieldtypes:textarea;com.atlassian.jira.plugin.system.customfieldtypes:textsearcher;Auswirkung / Konsequenz;;;;;;;2025-01-13 15:29:07.087;12709.0
15900;com.atlassian.jira.plugin.system.customfieldtypes:select;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;Fehlerbehebung durch;;;;;;;2023-01-10 15:06:23.370;25.0
15901;com.atlassian.jira.plugin.system.customfieldtypes:select;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;Ergebnis Recherche;;;;;;;2022-12-21 11:00:55.280;22.0
16000;com.atlassian.jira.plugin.system.customfieldtypes:datepicker;com.atlassian.jira.plugin.system.customfieldtypes:daterange;Startdatum;;;;;;;2025-01-13 16:29:07.140;1409.0
16100;com.atlassian.jira.plugin.system.customfieldtypes:select;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;Fehlerursache;;;;;;;2025-01-13 13:29:06.980;8497.0
